cod_ibge,dimensao,indicador_nome,nivel,tipo
1100015,sociocultural,Mortalidade materna,7.0,pos
1100015,sociocultural,Vulnerabilidade a Impactos Ambientais,6.0,pos
1100015,sociocultural,Computadores para uso dos alunos,1.0,neg
1100015,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100015,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100015,economica,Quantidade de interrupções no fornecimento de água,7.0,pos
1100015,economica,Plataforma integrada de cidade inteligente,1.0,neg
1100015,economica,Serviços de compartilhamento de viagens,1.0,neg
1100015,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100015,capacidades_institucionais,Solicitação de Serviços Públicos,4.0,pos
1100015,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100015,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100015,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100015,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,7.0,pos
1100015,meio_ambiente,Soluções para telegestão da iluminação pública,1.0,neg
1100015,meio_ambiente,Cobertura da população total com coleta seletiva de  resíd…,1.0,neg
1100080,sociocultural,Mortalidade materna,7.0,pos
1100080,sociocultural,Percentual de escolas municipais com acesso à internet,7.0,pos
1100080,sociocultural,Vagas no ensino superior,1.0,neg
1100080,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100080,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100080,economica,Quantidade de interrupções no fornecimento de água,7.0,pos
1100080,economica,Serviço de informações de transporte público em tempo real,1.0,neg
1100080,economica,Atendimento da população total com rede de abastecimento d…,1.0,neg
1100080,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100080,capacidades_institucionais,Serviços Públicos On-line,5.0,pos
1100080,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100080,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100080,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100080,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,6.0,pos
1100080,meio_ambiente,Soluções para telegestão da iluminação pública,1.0,neg
1100080,meio_ambiente,Cobertura da população total com coleta seletiva de  resíd…,1.0,neg
1100064,sociocultural,Percentual de escolas municipais com acesso à internet,7.0,pos
1100064,sociocultural,Vulnerabilidade a Impactos Ambientais,6.0,pos
1100064,sociocultural,Mortalidade materna,1.0,neg
1100064,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100064,economica,Sistema de informação geográfica da prefeitura,7.0,pos
1100064,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100064,economica,Plataforma integrada de cidade inteligente,1.0,neg
1100064,economica,Serviços de compartilhamento de viagens,1.0,neg
1100064,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100064,capacidades_institucionais,Serviços Públicos On-line,6.0,pos
1100064,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100064,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100064,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100064,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,7.0,pos
1100064,meio_ambiente,Soluções para telegestão da iluminação pública,1.0,neg
1100064,meio_ambiente,Cobertura da população total com coleta seletiva de  resíd…,1.0,neg
1100106,sociocultural,Formas on-line para participação pública,7.0,pos
1100106,sociocultural,Taxas de distorção idade-série,7.0,pos
1100106,sociocultural,Mortalidade materna,1.0,neg
1100106,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100106,economica,Número de favelas e comunidades urbana,7.0,pos
1100106,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100106,economica,Atendimento da população urbana com rede coletora de esgoto,1.0,neg
1100106,economica,Atendimento da população total com rede coletora de esgoto,1.0,neg
1100106,capacidades_institucionais,Serviços Públicos On-line,7.0,pos
1100106,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100106,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100106,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100106,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100106,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,7.0,pos
1100106,meio_ambiente,Cobertura da população total com coleta seletiva de  resíd…,1.0,neg
1100106,meio_ambiente,Esgoto coletado referido à água consumida,1.0,neg
1100155,sociocultural,Mortalidade materna,7.0,pos
1100155,sociocultural,Mortalidade Infantil,7.0,pos
1100155,sociocultural,Prontuário eletrônico,1.0,neg
1100155,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100155,economica,Sistema de informação geográfica da prefeitura,7.0,pos
1100155,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100155,economica,Inclusão produtiva urbana,1.0,neg
1100155,economica,Geração de trabalho e renda no município,1.0,neg
1100155,capacidades_institucionais,Serviços Públicos On-line,7.0,pos
1100155,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100155,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100155,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100155,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100155,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,7.0,pos
1100155,meio_ambiente,Soluções inteligentes para gestão na distribuição e consum…,1.0,neg
1100155,meio_ambiente,Cobertura da população total com coleta seletiva de  resíd…,1.0,neg
1100304,sociocultural,Mortalidade materna,7.0,pos
1100304,sociocultural,Vagas no ensino superior,7.0,pos
1100304,sociocultural,Prontuário eletrônico,1.0,neg
1100304,sociocultural,Índice de médicos disponíveis na rede pública municipal,1.0,neg
1100304,economica,Índice da população residente em favelas e comunidades urb…,7.0,pos
1100304,economica,Quantidade de interrupções no fornecimento de água,7.0,pos
1100304,economica,Serviços de compartilhamento de viagens,1.0,neg
1100304,economica,Plataforma integrada de cidade inteligente,1.0,neg
1100304,capacidades_institucionais,Transparência dos Dados - Disponibilização,6.0,pos
1100304,capacidades_institucionais,Solicitação de Serviços Públicos,5.0,pos
1100304,capacidades_institucionais,Segurança dos Dados - Práticas,1.0,neg
1100304,capacidades_institucionais,Infraestrutura de Hw e Sw - Armazenamento,1.0,neg
1100304,meio_ambiente,Índice de volume de água tratada importado,7.0,pos
1100304,meio_ambiente,Parcela de domicílios sujeitos a risco de inundação na áre…,7.0,pos
