cod_ibge,nome,uf,regiao,lat,lon
1101203,MINISTRO ANDREAZZA,RO,Norte,-11.196,-61.517
1101708,URUPÁ,RO,Norte,-11.126,-62.364
1100403,ALTO PARAÍSO,RO,Norte,-9.714,-63.319
1100452,BURITIS,RO,Norte,-10.194,-63.832
1101757,VALE DO ANARI,RO,Norte,-9.862,-62.188
1101807,VALE DO PARAÍSO,RO,Norte,-10.447,-62.135
1100502,NOVO HORIZONTE DO OESTE,RO,Norte,-11.696,-61.995
1101492,SÃO FRANCISCO DO GUAPORÉ,RO,Norte,-12.052,-63.568
1100148,NOVA BRASILÂNDIA D'OESTE,RO,Norte,-11.725,-62.313
1100155,OURO PRETO DO OESTE,RO,Norte,-10.717,-62.257
1101476,PRIMAVERA DE RONDÔNIA,RO,Norte,-11.829,-61.315
1101484,SÃO FELIPE D'OESTE,RO,Norte,-11.902,-61.503
1100189,PIMENTA BUENO,RO,Norte,-11.672,-61.198
1101500,SERINGUEIRAS,RO,Norte,-11.806,-63.018
1100205,PORTO VELHO,RO,Norte,-8.761,-63.9
1100254,PRESIDENTE MÉDICI,RO,Norte,-11.169,-61.899
1101559,TEIXEIRÓPOLIS,RO,Norte,-10.906,-62.242
1100288,ROLIM DE MOURA,RO,Norte,-11.727,-61.771
1100296,SANTA LUZIA D'OESTE,RO,Norte,-11.907,-61.778
1100262,RIO CRESPO,RO,Norte,-9.7,-62.901
1100320,SÃO MIGUEL DO GUAPORÉ,RO,Norte,-11.695,-62.719
1101609,THEOBROMA,RO,Norte,-10.248,-62.354
1100338,NOVA MAMORÉ,RO,Norte,-10.408,-65.335
1100304,VILHENA,RO,Norte,-12.75,-60.149
1100379,ALTO ALEGRE DOS PARECIS,RO,Norte,-12.132,-61.835
1100809,CANDEIAS DO JAMARI,RO,Norte,-8.791,-63.7
1101302,MIRANTE DA SERRA,RO,Norte,-11.029,-62.67
1100015,ALTA FLORESTA D'OESTE,RO,Norte,-11.928,-61.995
1100049,CACOAL,RO,Norte,-11.434,-61.456
1100056,CEREJEIRAS,RO,Norte,-13.187,-60.817
1100023,ARIQUEMES,RO,Norte,-9.906,-63.032
1100031,CABIXI,RO,Norte,-13.495,-60.552
1100080,COSTA MARQUES,RO,Norte,-12.437,-64.228
1100098,ESPIGÃO D'OESTE,RO,Norte,-11.527,-61.025
1100064,COLORADO DO OESTE,RO,Norte,-13.117,-60.545
1100072,CORUMBIARA,RO,Norte,-12.955,-60.895
1100924,CHUPINGUAIA,RO,Norte,-12.561,-60.888
1100908,CASTANHEIRAS,RO,Norte,-11.425,-61.948
1100940,CUJUBIM,RO,Norte,-9.361,-62.585
1100122,JI-PR,RO,Norte,-10.878,-61.932
1100130,MACHADINHO D'OESTE,RO,Norte,-9.444,-61.982
1101401,MONTE NEGRO,RO,Norte,-10.246,-63.29
1100106,GUAJARÁ-MIRIM,RO,Norte,-10.789,-65.33
1101450,PARECIS,RO,Norte,-12.175,-61.603
1100114,JARU,RO,Norte,-10.432,-62.479
1101468,PIMENTEIRAS DO OESTE,RO,Norte,-13.482,-61.047
1101435,NOVA UNIÃO,RO,Norte,-10.907,-62.556
1101005,GOVERNADOR JORGE TEIXEIRA,RO,Norte,-10.61,-62.737
1100601,CACAULÂNDIA,RO,Norte,-10.349,-62.904
1101104,ITAPUÃ DO OESTE,RO,Norte,-9.197,-63.181
1100700,CAMPO NOVO DE RONDÔNIA,RO,Norte,-10.571,-63.627
1200609,TARAUACÁ,AC,Norte,-8.157,-70.772
1200351,MARECHAL THAUMATURGO,AC,Norte,-8.939,-72.8
1200336,MÂNCIO LIMA,AC,Norte,-7.617,-72.9
1200344,MANOEL URBANO,AC,Norte,-8.833,-69.268
1200393,PORTO WALTER,AC,Norte,-8.263,-72.754
1200385,PLÁCIDO DE CASTRO,AC,Norte,-10.281,-67.137
1200401,RIO BRANCO,AC,Norte,-9.975,-67.824
1200435,SANTA ROSA DO PURUS,AC,Norte,-9.447,-70.49
1200427,RODRIGUES ALVES,AC,Norte,-7.739,-72.661
1200500,SENA MADUREIRA,AC,Norte,-9.066,-68.657
1200104,BRASILÉIA,AC,Norte,-10.995,-68.75
1200138,BUJARI,AC,Norte,-9.815,-67.955
1200179,CAPIXABA,AC,Norte,-10.566,-67.686
1200203,CRUZEIRO DO SUL,AC,Norte,-7.628,-72.676
1200252,EPITACIOLÂNDIA,AC,Norte,-11.019,-68.734
1200328,JORDÃO,AC,Norte,-9.191,-71.95
1200302,FEIJÓ,AC,Norte,-8.171,-70.351
1200807,PORTO ACRE,AC,Norte,-9.581,-67.548
1200054,ASSIS BRASIL,AC,Norte,-10.93,-69.574
1200450,SENADOR GUIOMARD,AC,Norte,-10.15,-67.736
1301159,CAREIRO DA VÁRZEA,AM,Norte,-3.314,-59.556
1303700,SANTO ANTÔNIO DO IÇÁ,AM,Norte,-3.095,-67.946
1300706,BOCA DO ACRE,AM,Norte,-8.742,-67.392
1304237,TONANTINS,AM,Norte,-2.866,-67.792
1304203,TEFÉ,AM,Norte,-3.368,-64.719
1304260,UARINI,AM,Norte,-2.996,-65.113
1301654,GUAJARÁ,AM,Norte,-7.538,-72.591
1300300,AUTAZES,AM,Norte,-3.586,-59.126
1302108,JAPURÁ,AM,Norte,-1.882,-66.929
1303403,PARINTINS,AM,Norte,-2.637,-56.729
1301704,HUMAITÁ,AM,Norte,-7.512,-63.033
1300409,BARCELOS,AM,Norte,-0.983,-62.931
1302207,JURUÁ,AM,Norte,-3.484,-66.072
1303502,PAUINI,AM,Norte,-7.713,-66.992
1303536,PRESIDENTE FIGUEIREDO,AM,Norte,-2.03,-60.023
1301803,IPIXUNA,AM,Norte,-7.048,-71.693
1303569,RIO PRETO DA EVA,AM,Norte,-2.704,-59.686
1301407,EIRUNEPÉ,AM,Norte,-6.657,-69.866
1300508,BARREIRINHA,AM,Norte,-2.799,-57.068
1304005,SILVES,AM,Norte,-2.817,-58.248
1302702,MANICORÉ,AM,Norte,-5.805,-61.289
1304062,TABATINGA,AM,Norte,-4.242,-69.938
1300102,ANORI,AM,Norte,-3.746,-61.657
1300144,APUÍ,AM,Norte,-7.194,-59.896
1303205,NOVO AIRÃO,AM,Norte,-2.636,-60.943
1301506,ENVIRA,AM,Norte,-7.438,-70.028
1300201,ATALAIA DO NORTE,AM,Norte,-4.371,-70.197
1302009,ITAPIRANGA,AM,Norte,-2.741,-58.029
1303304,NOVO ARIPUANÃ,AM,Norte,-5.126,-60.373
1301605,FONTE BOA,AM,Norte,-2.523,-66.094
1302900,MAUÉS,AM,Norte,-3.393,-57.707
1301209,COARI,AM,Norte,-4.094,-63.144
1302504,MANACAPURU,AM,Norte,-3.291,-60.622
1302553,MANAQUIRI,AM,Norte,-3.441,-60.461
1303809,SÃO GABRIEL DA CACHOEIRA,AM,Norte,-0.119,-67.084
1300839,CAAPIRANGA,AM,Norte,-3.315,-61.221
1300805,BORBA,AM,Norte,-4.392,-59.587
1304302,URUCARÁ,AM,Norte,-2.529,-57.754
1302603,MANAUS,AM,Norte,-3.119,-60.021
1301308,CODAJÁS,AM,Norte,-3.831,-62.066
1303908,SÃO PAULO DE OLIVENÇA,AM,Norte,-3.473,-68.965
1300029,ALVARÃES,AM,Norte,-3.227,-64.801
1300904,CANUTAMA,AM,Norte,-6.526,-64.395
1300060,AMATURÁ,AM,Norte,-3.375,-68.201
1303957,SÃO SEBASTIÃO DO UATUMÃ,AM,Norte,-2.559,-57.873
1303106,NOVA OLINDA DO NORTE,AM,Norte,-3.9,-59.094
1304401,URUCURITUBA,AM,Norte,-3.128,-58.15
1301852,IRANDUBA,AM,Norte,-3.275,-60.19
1301001,CARAUARI,AM,Norte,-4.882,-66.909
1302306,JUTAÍ,AM,Norte,-2.758,-66.76
1303601,SANTA ISABEL DO RIO NEGRO,AM,Norte,-0.411,-65.009
1300631,BERURI,AM,Norte,-3.899,-61.362
1300607,BENJAMIN CONSTANT,AM,Norte,-4.378,-70.034
1301951,ITAMARATI,AM,Norte,-6.439,-68.244
1304104,TAPAUÁ,AM,Norte,-5.621,-63.181
1300680,BOA VISTA DO RAMOS,AM,Norte,-2.974,-57.587
1302405,LÁBREA,AM,Norte,-7.264,-64.795
1301100,CAREIRO,AM,Norte,-3.768,-60.369
1302801,MARAÃ,AM,Norte,-1.853,-65.573
1303007,NHAMUNDÁ,AM,Norte,-2.208,-56.711
1300086,ANAMÃ,AM,Norte,-3.567,-61.396
1301902,ITACOATIARA,AM,Norte,-3.139,-58.445
1400100,BOA VISTA,RR,Norte,2.824,-60.675
1400175,CANTÁ,RR,Norte,2.61,-60.606
1400159,BONFIM,RR,Norte,3.362,-59.833
1400209,CARACARAÍ,RR,Norte,1.828,-61.13
1400233,CAROEBE,RR,Norte,0.884,-59.696
1400282,IRACEMA,RR,Norte,2.183,-61.041
1400027,AMAJARI,RR,Norte,3.646,-61.369
1400050,ALTO ALEGRE,RR,Norte,2.989,-61.307
1400506,SÃO JOÃO DA BALIZA,RR,Norte,0.952,-59.913
1400605,SÃO LUIZ,RR,Norte,1.01,-60.042
1400704,UIRAMUTÃ,RR,Norte,4.603,-60.181
1400308,MUCAJAÍ,RR,Norte,2.44,-60.91
1400407,NORMANDIA,RR,Norte,3.885,-59.62
1400456,PACARAIMA,RR,Norte,4.48,-61.148
1400472,RORAINÓPOLIS,RR,Norte,0.94,-60.439
1501782,BREU BRANCO,PA,Norte,-3.772,-49.574
1501758,BREJO GRANDE DO ARAGUAIA,PA,Norte,-5.698,-48.41
1500404,ALENQUER,PA,Norte,-1.946,-54.738
1505205,OEIRAS DO PARÁ,PA,Norte,-2.004,-49.863
1507003,SANTO ANTÔNIO DO TAUÁ,PA,Norte,-1.152,-48.131
1508100,TUCURUÍ,PA,Norte,-3.766,-49.677
1502202,CAPANEMA,PA,Norte,-1.205,-47.178
1508126,ULIANÓPOLIS,PA,Norte,-3.75,-47.489
1504802,MONTE ALEGRE,PA,Norte,-1.998,-54.072
1503507,IRITUIA,PA,Norte,-1.77,-47.446
1508159,URUARÁ,PA,Norte,-3.715,-53.74
1507904,SOURE,PA,Norte,-0.73,-48.502
