cod_ibge,dimensao,topico,nivel_cur,ano_cur,nivel_old,ano_old
1100015,meio_ambiente,areas_verdes,2,2020,2,2020
1100015,capacidades_institucionais,dados_abertos,3,2024,3,2024
1100015,meio_ambiente,qualidade_ar,1,2024,1,2023
1100015,economica,habitacao,4,2022,4,2022
1100015,economica,agua_esgoto,4,2024,4,2024
1100015,capacidades_institucionais,monitoramento,1,2024,1,2023
1100015,sociocultural,inclusao_digital,1,2024,1,2024
1100015,economica,urbanizacao_vias_publicas,3,2022,3,2022
1100015,economica,residuos_solidos,3,2024,3,2024
1100015,sociocultural,cultura,2,2024,2,2023
1100015,sociocultural,gestao_desastres,4,2020,4,2020
1100015,sociocultural,participacao_publica,2,2019,2,2019
1100015,economica,inovacao,3,2023,3,2023
1100015,economica,sistemas_tecnologia_gestao_urbana,5,2024,5,2024
1100015,economica,servicos_online_prefeitura,4,2025,4,2025
1100015,capacidades_institucionais,servicos_aplicacoes,3,2025,3,2025
1100015,economica,infraestrutura_conectividade,5,2025,5,2025
1100015,meio_ambiente,agua_esgoto,4,2024,4,2024
1100015,capacidades_institucionais,estrategia,1,2024,1,2023
1100015,sociocultural,inclusao_social,2,2024,2,2023
1100015,sociocultural,seguranca_publica,3,2024,3,2023
1100015,meio_ambiente,residuos_solidos,1,2024,1,2024
1100015,economica,dados_abertos,6,2019,6,2019
1100015,meio_ambiente,gestao_desastres,7,2025,7,2025
1100015,capacidades_institucionais,infraestrutura_hw_sw,1,2024,1,2023
1100015,economica,transporte,1,2024,1,2023
1100015,sociocultural,educacao,3,2025,3,2025
1100015,meio_ambiente,energia,1,2024,1,2023
1100015,sociocultural,saude,4,2025,4,2025
1100080,meio_ambiente,areas_verdes,1,2020,1,2020
1100080,capacidades_institucionais,dados_abertos,3,2024,3,2024
1100080,meio_ambiente,qualidade_ar,1,2024,1,2023
1100080,economica,habitacao,4,2022,4,2022
1100080,economica,agua_esgoto,3,2024,3,2024
1100080,capacidades_institucionais,monitoramento,1,2024,1,2023
1100080,sociocultural,inclusao_digital,1,2024,1,2024
1100080,economica,urbanizacao_vias_publicas,3,2022,3,2022
1100080,economica,residuos_solidos,2,2024,2,2024
1100080,sociocultural,cultura,2,2024,2,2023
1100080,sociocultural,gestao_desastres,4,2020,4,2020
1100080,sociocultural,participacao_publica,2,2019,2,2019
1100080,economica,inovacao,2,2023,2,2023
1100080,economica,sistemas_tecnologia_gestao_urbana,3,2024,3,2024
1100080,economica,servicos_online_prefeitura,4,2025,4,2025
1100080,capacidades_institucionais,servicos_aplicacoes,4,2025,3,2025
1100080,economica,infraestrutura_conectividade,5,2025,5,2025
1100080,meio_ambiente,agua_esgoto,4,2024,4,2024
1100080,capacidades_institucionais,estrategia,1,2024,1,2023
1100080,sociocultural,inclusao_social,3,2024,2,2023
1100080,sociocultural,seguranca_publica,2,2024,2,2023
1100080,meio_ambiente,residuos_solidos,1,2024,1,2024
1100080,economica,dados_abertos,6,2019,6,2019
1100080,meio_ambiente,gestao_desastres,6,2025,6,2025
1100080,capacidades_institucionais,infraestrutura_hw_sw,1,2024,1,2023
1100080,economica,transporte,1,2024,1,2023
1100080,sociocultural,educacao,3,2025,3,2025
1100080,meio_ambiente,energia,1,2024,1,2023
