topico_sigla,topico_nome,dimensao_sigla,n_indicadores
dados_abertos,Dados Abertos,capacidades_institucionais,4
estrategia,Estratégia,capacidades_institucionais,3
infraestrutura_hw_sw,Infraestrutura de TI (Hardware/Software),capacidades_institucionais,2
monitoramento,Monitoramento,capacidades_institucionais,3
servicos_aplicacoes,Serviços e Aplicações,capacidades_institucionais,3
habitacao,Habitação,economica,3
infraestrutura_conectividade,Infraestrutura de Conectividade,economica,8
inovacao,Inovação,economica,4
servicos_online_prefeitura,Serviços On-line da Prefeitura,economica,2
sistemas_tecnologia_gestao_urbana,Sistemas e Tecnologia para Gestão Urbana,economica,2
transporte,Transporte,economica,7
urbanizacao_vias_publicas,Urbanização das Vias Públicas,economica,3
agua_esgoto,Água e Esgoto,meio_ambiente,11
areas_verdes,Áreas Verdes,meio_ambiente,2
energia,Energia,meio_ambiente,2
qualidade_ar,Qualidade do Ar,meio_ambiente,2
residuos_solidos,Resíduos Sólidos,meio_ambiente,3
cultura,Cultura,sociocultural,4
educacao,Educação,sociocultural,10
gestao_desastres,Gestão de Desastres,sociocultural,5
inclusao_digital,Inclusão Digital,sociocultural,2
inclusao_social,Inclusão Social,sociocultural,3
participacao_publica,Participação Pública,sociocultural,2
saude,Saúde,sociocultural,8
seguranca_publica,Segurança Pública,sociocultural,3
